filename,min_dist,I_sc
TER_0374.pdb,12.8305,-16.4000
TER_0375.pdb,15.6650,-11.2900
TER_0376.pdb,16.5103,-5.7320
TER_0377.pdb,18.2191,-11.9630
TER_0378.pdb,16.0668,-15.0030
TER_0379.pdb,13.8350,-25.8260
TER_0380.pdb,95.9572,0.0000
TER_0381.pdb,14.2479,-13.1920
TER_0382.pdb,16.9699,-12.7500
TER_0383.pdb,11.2382,-10.7160
TER_0384.pdb,19.5338,-10.0960
TER_0385.pdb,26.5003,-1.2590
TER_0386.pdb,21.2029,-19.1650
TER_0387.pdb,16.4653,-16.0920
TER_0388.pdb,20.4501,-5.5040
TER_0389.pdb,14.7486,-12.4380
TER_0390.pdb,13.7828,-16.5530
TER_0391.pdb,16.9721,-12.0690
TER_0392.pdb,22.9050,-11.8990
TER_0393.pdb,17.4575,-15.8000
TER_0394.pdb,17.9750,-10.9520
TER_0395.pdb,18.1235,-26.4910
TER_0396.pdb,12.4189,-8.6030
TER_0397.pdb,10.5149,-7.2920
TER_0398.pdb,17.8393,-12.1510
TER_0399.pdb,14.8486,-19.0960
TER_0400.pdb,19.9217,-14.4620
TER_0401.pdb,14.6836,-11.1070
TER_0402.pdb,15.8792,-13.3820
TER_0403.pdb,18.4189,-16.6060
TER_0404.pdb,16.3223,-9.5050
TER_0405.pdb,20.3035,-0.0580
TER_0406.pdb,26.8667,-18.9160
TER_0407.pdb,19.5307,-6.8600
TER_0408.pdb,13.2244,-1.5010
TER_0409.pdb,22.6383,-6.6410
TER_0410.pdb,19.5157,-10.9240
TER_0411.pdb,17.7861,-12.1990
TER_0412.pdb,14.1736,-12.4420
TER_0413.pdb,16.4827,-9.3670
TER_0414.pdb,20.4340,-12.0460
TER_0415.pdb,18.1503,-13.7610
TER_0416.pdb,16.2478,-13.8630
TER_0417.pdb,15.3848,-11.8570
TER_0418.pdb,11.8920,-14.6090
TER_0419.pdb,13.5774,-13.0730
TER_0420.pdb,12.1669,-23.3220
TER_0421.pdb,15.8872,-4.6910
TER_0422.pdb,11.7049,-14.6380
TER_0423.pdb,21.4073,-19.0550
TER_0424.pdb,21.6546,-12.4210
TER_0425.pdb,13.2503,-4.5050
TER_0426.pdb,16.1077,-8.2150
TER_0427.pdb,23.2424,-3.3580
TER_0428.pdb,10.1697,-20.9290
TER_0429.pdb,19.6198,-6.6580
TER_0430.pdb,21.6087,-12.0510
TER_0431.pdb,10.3375,-12.1510
TER_0432.pdb,18.7028,-1.5570
TER_0433.pdb,21.5911,-12.5210
TER_0434.pdb,11.4542,-16.7220
TER_0435.pdb,20.1799,-14.5230
TER_0436.pdb,15.2331,-13.3960
TER_0437.pdb,15.2429,-10.4480
TER_0438.pdb,21.3230,-6.8200
TER_0439.pdb,9.8219,-14.4460
TER_0440.pdb,33.6988,-3.7370
TER_0441.pdb,17.0632,-7.7040
TER_0442.pdb,14.3577,-14.8750
TER_0443.pdb,13.3775,-14.5920
TER_0444.pdb,29.4697,-7.0590
TER_0445.pdb,16.6354,-11.5430
TER_0446.pdb,12.7308,-14.2260
TER_0447.pdb,19.6826,-12.4070
TER_0448.pdb,15.5544,-9.9080
TER_0449.pdb,13.1122,-15.3800
TER_0450.pdb,11.7097,-9.2560
TER_0451.pdb,63.2035,0.0000
TER_0452.pdb,14.6280,-12.8560
TER_0453.pdb,14.7545,-7.4710
TER_0454.pdb,13.0448,-14.0160
TER_0455.pdb,12.0944,-20.0520
TER_0456.pdb,20.9519,-14.1520
TER_0457.pdb,16.1328,-10.9750
TER_0458.pdb,26.1089,-11.6630
TER_0459.pdb,16.6782,-12.7700
TER_0460.pdb,14.6749,-19.6670
TER_0461.pdb,16.2481,-14.8810
TER_0462.pdb,20.8172,-7.9140
TER_0463.pdb,20.1602,-14.1320
TER_0464.pdb,17.6590,-13.3800
TER_0465.pdb,20.2663,-7.5480
TER_0466.pdb,14.5738,-10.1220
TER_0467.pdb,22.9951,-11.6820
TER_0468.pdb,26.9350,-1.6320
TER_0469.pdb,18.3906,-15.6390
TER_0470.pdb,13.4406,-12.7880
TER_0471.pdb,12.0113,-14.8720
TER_0472.pdb,16.6626,-15.1780
TER_0473.pdb,19.6818,-16.8770
TER_0474.pdb,34.8648,0.0000
TER_0475.pdb,12.4484,-16.0010
TER_0476.pdb,15.2815,-12.3930
TER_0477.pdb,15.4335,-17.8760
TER_0478.pdb,14.0493,-6.4520
